text,label,game
this game is the best and chris redfield is da man,quick_take,Resident Evil (2015 Remake)
this might be the greatest game ever created tbh,quick_take,Resident Evil (2015 Remake)
This game is old but its still a good resident evil. Some of the puzzles though i was like wow there is not way i was ever figuring this out like the clock puzzle but some of the other puzzles are pretty good though. Its pretty easy though I finished the game with a crap ton of heals left at the end of the game and a decent amount of my good ammo. The door animation is kind of annoying though. I literally got lost a couple off times and was like damn time to see this door animation again.,personal_story,Resident Evil (2015 Remake)
5/10 no crotch physics + how do i play as leon,quick_take,Resident Evil (2015 Remake)
"The best way to experience the first Resident Evil. The visual upgrade makes it even more athmospheric and immersive, which adds to the horror element. The OG version was way more clunky in comparison.",analysis,Resident Evil (2015 Remake)
"I got this game because I was stuck playing the same few games over and over again and I needed something new and fun, and this game was absolutely perfect for that. It was fun and gave me a good scare, and the puzzles were super fun to solve. The mansion was huge and fun to explore, and back tracking didn't really feel too much like a chore. My favorite part bar none was seeing the story unfold throughout the game through the notes left behind. I would highly recommend this game to anybody who feels like they are up for the challenge.",analysis,Resident Evil (2015 Remake)
"the games soundtrack and art direction are incredibly well done, some of the puzzles will definitely make you want to throw your monitor out the window but theyre very satisfying to complete when you eventually do figure them out. the story was fun and well written and the characters were very thought out and likeable 8/10",analysis,Resident Evil (2015 Remake)
havent played much yet but enjoyed it so far,personal_story,Resident Evil (2015 Remake)
"I could talk at length about the great atmosphere, the incredible level design, the beautiful soundtrack, or how high this game set the bar for remakes. But there’s no need. Resident Evil is simply a lot of fun to play in a way that feels rare these days.",analysis,Resident Evil (2015 Remake)
"This game is beautiful, I love everything about it",quick_take,Resident Evil (2015 Remake)
"10000% recommend if you can enjoy a game that has aged, but aged well. This is one of my favorite games ever made. I've played almost every resi game at this point but the RE HD remaster is genuinely the most fun I've had in a game in a long time.",analysis,Resident Evil (2015 Remake)
"[h1]BEST REMASTERED GAME SO FAR![/h1]

I'm so glad I played the Original Resident Evil first before playing this remastered version. I appreciated it a lot and I love everything. Didn't expect to encounter those crimson head zombies since I don't remember them being on the original game but they were great, scary and challenging due to their walking speed. I enjoyed every free time I had and Overall ABSOLUTE CINEMA!",personal_story,Resident Evil (2015 Remake)
"unironically the best RE game imo. the fixed camera angles were annoying at first but they very quickly grew on me, and sure you cant exactly aim with the guns but its not that big of a deal to me. the aesthetic and style are probably my favourite out of all the RE games, i definitely prefer it over the games that lean more into realism. the mansion is amazingly designed especially in terms of the puzzles and exploration. I genuinely dont even think there's an area of the game i outright dislike. still holds up phenomenally even after all these years",analysis,Resident Evil (2015 Remake)
Controls are here and there but game is top notch. Keeps the original mechanics and puzzles are honestly interesting and solvable. Took me too much time on my first playthrough. Definitely has some amount replayability. Overall 7.5/10,analysis,Resident Evil (2015 Remake)
Difficult game at the start but you get the hang of it. Achievements are too longggggg,analysis,Resident Evil (2015 Remake)
Phenomenal experience . . . don't let the dated graphics cause you to miss out on one of the greatest games of all time (despite some of the worst dialogue of all time haha). Play this one before all the shiny (but spectacular) REmakes,analysis,Resident Evil (2015 Remake)
"Max resolution is below 1440p, clunky controls, long loading screens after every room, died after picking up the mansion key like 20 minutes into the game and have to restart the whole game. The atmosphere was alright and the game started off strong. Maybe its something for people who have nostalgia for it.",personal_story,Resident Evil (2015 Remake)
"First off, I am a newcomer to the Resident Evil series. Started off with the remakes then went for 7 and Village to then playing RE5. Let me state that playing this was an absolute NIGHTMARE for me, even though I was resourceful and had heaps of ammo. The constant going back and forth for this and that, saving constantly out of fear, and the unknown behind the locked cinematic camera was genuinely very fun. I thought it was great and had a blast, but I can for sure admit the hours I put into it is plenty for me. Also, the laboratory is very eerie, felt nothing like the Resident Evil games I played prior to it.",personal_story,Resident Evil (2015 Remake)
