text,label,notes,game
"the games soundtrack and art direction are incredibly well done, some of the puzzles will definitely make you want to throw your monitor out the window but theyre very satisfying to complete when you eventually do figure them out. the story was fun and well written and the characters were very thought out and likeable 8/10",design_discussion,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"This game is beautiful, I love everything about it",personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
Difficult game at the start but you get the hang of it. Achievements are too longggggg,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
Phenomenal experience . . . don't let the dated graphics cause you to miss out on one of the greatest games of all time (despite some of the worst dialogue of all time haha). Play this one before all the shiny (but spectacular) REmakes,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
im ngl its not very well written but i like when chris just gives people a thumbs up like bro do you not see the monstrosities you're dealing with rn? imo its easier to control using the og controls instead of the updated ones fyi. i will be playing this entire franchise though. so .,opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"makes me wanna off myself but in a good way. joy in suffering. 



if you have not played this, fake resident evil fan",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"my fav re game, doors are annoying asf but its an easy mod fix, a little frustrating at times but thats part of the fun, kinda ironic to me how the  end of the game is easier than the beginning, rebecca is my shayla 4eva, wish there was a mode to go through the mansion as rebecca instead of chris or swap their roles",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"Enjoyed the upgraded graphics in this remaster. Also enjoyed the alternate controls, though it took time to get use to it.",design_discussion,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
love eating my jill sandwich in the mansion with evil residents,personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"The game did not click with me at first, didn't understand why people loved it so much. But after I beat the original (and liked it a lot), I decided to give the remake another try. Now I get why this franchise is so beloved, this games are engaging AF. Easily one of the best 40 hours I've spent in a while.

Although I believe that the original sill has its merits too, and deserves a chance as well. 100% Recommended.",personal_experience,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"It's a Resident Evil remake. I really do not know what else to say about it. As far as I remember its pretty much identical to the original but with better graphics. Like everyone else I've played this multiple times.

If you really do not know or at least heard of Resident Evil at this point in time then you must lead an extremely sheltered life.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"Absolute classic, been replaying this since it came out on the Gamecube and always come back to it. The controls might be tedious for new players not used to them, but its absolutely worth getting into it.",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil (2015 Remake)
"To be completely blunt and honest, I did watch gameplays of RE2 before I finally managed to play it myself.
Thought, ""Hey. I was essentially spoiled on a lot! This almost-10-year-old game can't be that scary now!""
...Good god, I was wrong lmao",opinion_judgment,[STILL UNCERTAIN] Mixed signals or ambiguous,Resident Evil 2 (2019 Remake)
